Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"19/11/2015","MONEEN, CASTLEBAR, MAYO","","Mayo","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/11/2015","MONEEN, LOUISBURGH, MAYO","","Mayo","€217,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/11/2015","TALLAGH RD, BELMULLET, MAYO","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","11 BLACKFORT AVENUE, NEWPORT ROAD, CASTLEBAR","","Mayo","€153,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","2 MARIAN VIEW, BOHERNASUP, BALLINA","","Mayo","€126,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","26 SUMMERFIELD, CASTLEBAR, MAYO","","Mayo","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","37 college view, westport road, castlebar","","Mayo","€158,590.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"20/11/2015","88 LAKEVIEW, CASTLEBAR, MAYO","","Mayo","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","CARRANDINE, BALLA, CO MAYO","","Mayo","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","Crossboyne, CLAREMORRIS","","Mayo","€108,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/11/2015","DALISTA, AIRPORT RD, CHARLESTOWN","","Mayo","€97,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/11/2015","ST ANNES, MAIN ST, BALLINDINE","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/11/2015","2 CHAPEL LANE, KILLALA, CO MAYO","","Mayo","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/11/2015","9 MOUNTAIN VIEW, CORDARRAGH, KILTIMAGH","","Mayo","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
